Item_to_craft,a,item_id_1,b,item_id_2,c,item_id_3,d,item_id_4,e,item_id_5,f,item_id_6,g,item_id_7,h,item_id_8
455,1,463,1,471,2,460,5,446,,,,,,,,
456,2,472,2,446,2,350,4,474,4,449,,,,,,
458,1,310,7,444,8,441,,,,,,,,,,
459,20,303,,,,,,,,,,,,,,
462,1,461,1,420,2,464,10,435,,,,,,,,
465,10,545,10,311,,,,,,,,,,,,
466,10,546,10,311,,,,,,,,,,,,
467,10,311,10,547,,,,,,,,,,,,
468,1,311,1,285,,,,,,,,,,,,
469,2,464,2,476,5,435,5,434,20,473,,,,,,
478,4,449,4,313,4,472,5,444,9,461,,,,,,
482,2,445,3,446,3,460,4,461,,,,,,,,
483,3,461,3,445,4,446,4,460,,,,,,,,
484,3,446,4,445,5,460,5,461,,,,,,,,
491,1,312,2,303,,,,,,,,,,,,
493,1,312,2,303,,,,,,,,,,,,
494,1,303,2,312,,,,,,,,,,,,
495,1,441,2,303,,,,,,,,,,,,
496,1,303,2,441,,,,,,,,,,,,
498,1,303,2,312,,,,,,,,,,,,
499,1,441,2,303,,,,,,,,,,,,
500,1,303,2,441,,,,,,,,,,,,
502,3,476,3,460,5,443,,,,,,,,,,
515,1,463,5,472,5,446,5,474,5,449,10,313,,,,
520,1,285,1,311,1,300,1,286,,,,,,,,
521,1,582,1,286,1,287,1,311,,,,,,,,
522,1,286,1,422,1,285,1,311,,,,,,,,
524,1,394,1,285,1,311,1,286,,,,,,,,
526,1,531,1,285,1,530,1,529,1,286,1,311,,,,
527,1,285,1,286,1,311,1,392,1,391,,,,,,
528,1,289,1,285,1,286,1,311,,,,,,,,
529,2,400,,,,,,,,,,,,,,
530,2,532,,,,,,,,,,,,,,
531,2,533,,,,,,,,,,,,,,
534,2,405,,,,,,,,,,,,,,
535,2,401,,,,,,,,,,,,,,
536,1,311,1,531,1,286,,,,,,,,,,
538,1,537,,,,,,,,,,,,,,
539,1,530,1,532,1,311,1,286,,,,,,,,
548,1,395,1,311,,,,,,,,,,,,
579,1,476,2,312,,,,,,,,,,,,
580,1,793,3,380,3,395,,,,,,,,,,
582,2,532,2,289,,,,,,,,,,,,
583,2,400,2,289,2,532,,,,,,,,,,
586,2,400,2,289,2,532,2,533,,,,,,,,
587,2,401,2,533,2,400,2,289,2,532,,,,,,
592,1,420,1,474,6,449,7,461,7,460,,,,,,
610,2,2302,5,379,5,2303,,,,,,,,,,
616,1,1490,10,313,10,598,,,,,,,,,,
617,1,2336,1,1692,10,310,,,,,,,,,,
619,2,316,2,315,4,464,10,474,10,472,20,449,20,470,,
620,1,2303,10,749,10,748,20,2583,20,2302,20,379,,,,
629,1,887,1,882,1,1670,6,388,,,,,,,,
640,1,420,1,1002,4,2358,4,2357,5,435,,,,,,
657,1,465,5,313,5,472,6,470,9,474,10,449,,,,
658,1,464,2,449,5,474,6,460,6,472,,,,,,
673,3,303,5,312,,,,,,,,,,,,
674,4,444,4,445,4,461,4,460,9,471,,,,,,
675,4,473,4,476,5,442,7,460,,,,,,,,
676,4,476,4,443,5,303,10,460,,,,,,,,
690,2,423,,,,,,,,,,,,,,
692,1,690,1,311,,,,,,,,,,,,
696,1,533,1,400,1,1671,6,420,,,,,,,,
698,1,1672,5,885,5,881,10,384,10,420,,,,,,
699,1,1673,2,420,6,885,10,761,,,,,,,,
701,1,1674,1,880,1,886,1,882,,,,,,,,
702,1,430,1,1675,1,433,1,310,1,1614,,,,,,
703,1,1676,1,880,2,472,2,473,10,420,,,,,,
704,1,1677,1,486,1,887,5,485,10,420,,,,,,
705,1,1678,10,997,10,761,10,388,10,420,,,,,,
706,1,1679,2,761,2,388,10,420,,,,,,,,
707,1,761,1,388,1,840,1,420,2,1680,,,,,,
708,1,1681,1,301,3,388,10,420,,,,,,,,
709,1,1682,2,1612,2,420,2,434,2,1610,,,,,,
710,1,882,1,1683,10,420,,,,,,,,,,
711,1,1684,1,420,10,646,10,885,,,,,,,,
712,25,2551,25,2317,30,2647,30,2486,30,419,,,,,,
732,1,315,2,445,3,444,5,350,,,,,,,,
733,1,466,1,887,1,886,5,313,10,486,,,,,,
734,1,486,3,444,5,304,,,,,,,,,,
742,1,463,2,313,2,474,3,472,,,,,,,,
744,1,1687,10,384,10,881,50,364,,,,,,,,
745,10,313,,,,,,,,,,,,,,
746,10,441,10,442,10,312,,,,,,,,,,
747,10,441,10,312,,,,,,,,,,,,
748,10,441,10,443,10,312,10,442,,,,,,,,
749,10,442,10,441,10,445,10,443,10,312,,,,,,
750,10,444,10,441,10,443,10,445,10,312,10,442,,,,
754,1,752,1,1686,1,881,10,384,,,,,,,,
758,2,882,4,2503,25,388,100,761,,,,,,,,
759,1,291,1,650,1,1685,1,652,,,,,,,,
766,5,473,5,303,,,,,,,,,,,,
767,2,312,3,441,,,,,,,,,,,,
768,2,312,3,442,,,,,,,,,,,,
769,1,883,3,884,,,,,,,,,,,,
770,1,884,3,883,,,,,,,,,,,,
771,4,303,4,312,,,,,,,,,,,,
772,1,1686,4,388,8,881,8,384,,,,,,,,
773,1,1689,10,420,10,301,,,,,,,,,,
774,1,1687,1,885,1,881,,,,,,,,,,
775,1,416,1,1687,15,384,,,,,,,,,,
776,1,414,1,1688,1,885,,,,,,,,,,
777,1,1691,1,438,1,642,4,414,9,362,,,,,,
779,1,1688,2,1690,5,646,20,881,20,301,,,,,,
781,1,418,2,1141,2,415,10,648,,,,,,,,
782,3,460,10,441,13,303,15,473,,,,,,,,
783,2,461,2,474,2,449,3,460,,,,,,,,
784,1,883,3,881,,,,,,,,,,,,
785,3,476,3,473,4,441,,,,,,,,,,
786,1,303,3,442,,,,,,,,,,,,
787,1,473,1,441,,,,,,,,,,,,
789,2,304,2,441,,,,,,,,,,,,
790,1,416,1,1690,1,1686,1,650,,,,,,,,
791,1,436,1,501,1,311,1,464,1,463,,,,,,
793,2,425,2,385,,,,,,,,,,,,
819,1,473,3,441,6,444,,,,,,,,,,
820,1,473,3,441,7,444,,,,,,,,,,
821,1,473,3,441,8,444,,,,,,,,,,
822,2,444,2,449,4,441,4,350,,,,,,,,
823,2,444,3,449,4,441,4,350,,,,,,,,
824,2,444,4,350,4,441,4,449,,,,,,,,
825,1,350,2,474,4,442,8,445,,,,,,,,
826,1,350,3,474,4,442,8,445,,,,,,,,
827,1,350,4,442,4,474,8,445,,,,,,,,
828,1,420,2,460,3,471,,,,,,,,,,
829,2,476,4,303,,,,,,,,,,,,
830,2,441,2,449,3,461,3,474,,,,,,,,
831,2,449,2,441,4,461,4,474,,,,,,,,
832,2,449,2,441,5,461,5,474,,,,,,,,
833,2,350,3,471,3,474,3,460,,,,,,,,
834,2,350,3,471,4,460,4,474,,,,,,,,
835,2,350,3,471,5,474,5,460,,,,,,,,
836,1,464,4,434,4,437,,,,,,,,,,
837,1,883,7,304,,,,,,,,,,,,
841,4,441,4,473,4,443,4,476,,,,,,,,
849,1,301,1,312,,,,,,,,,,,,
850,1,385,1,312,,,,,,,,,,,,
851,1,312,1,365,,,,,,,,,,,,
852,1,312,4,441,,,,,,,,,,,,
860,2,441,4,884,,,,,,,,,,,,
861,1,304,3,884,,,,,,,,,,,,
862,1,476,7,304,,,,,,,,,,,,
863,3,384,5,884,,,,,,,,,,,,
864,3,884,5,304,,,,,,,,,,,,
867,1,848,1,463,5,474,5,472,10,460,,,,,,
888,8,486,9,881,11,883,11,884,,,,,,,,
889,8,486,10,881,13,884,13,883,,,,,,,,
890,1,881,2,883,,,,,,,,,,,,
891,2,883,2,881,,,,,,,,,,,,
892,2,881,3,883,,,,,,,,,,,,
893,2,444,2,461,2,350,3,471,,,,,,,,
894,2,444,2,350,3,461,4,471,,,,,,,,
895,2,350,2,444,4,461,5,471,,,,,,,,
896,2,444,2,350,5,461,6,471,,,,,,,,
897,2,445,3,350,3,449,3,461,3,474,,,,,,
898,3,461,3,445,3,350,4,474,4,449,,,,,,
899,3,350,3,461,4,445,5,449,5,474,,,,,,
900,3,350,3,461,5,445,6,449,6,474,,,,,,
902,4,384,5,486,5,304,,,,,,,,,,
903,6,384,6,304,7,486,,,,,,,,,,
904,7,384,7,304,8,486,,,,,,,,,,
905,1,886,1,485,1,887,15,486,15,384,,,,,,
906,1,8002,1,2507,1,1891,2,887,2,901,,,,,,
907,1,2507,1,1891,1,8002,4,887,4,901,,,,,,
908,1,8002,1,1891,1,2507,6,887,6,901,,,,,,
909,1,2507,1,8002,1,1891,8,901,8,887,,,,,,
910,1,911,2,901,2,886,3,487,3,882,3,887,3,880,,
912,1,886,1,315,1,466,1,487,1,910,3,887,10,313,,
916,1,474,1,467,2,446,2,463,2,313,,,,,,
917,1,920,2,466,10,474,10,449,10,313,10,470,10,472,,
919,1,918,1,449,1,472,1,474,4,313,,,,,,
922,1,476,2,312,,,,,,,,,,,,
923,1,926,1,316,5,313,5,474,5,472,5,449,10,446,,
924,7,384,8,304,9,486,,,,,,,,,,
927,2,466,5,313,5,920,5,464,6,434,6,472,10,470,10,446
928,1,60,1,474,5,350,6,441,8,312,,,,,,
932,4,384,4,881,6,309,,,,,,,,,,
933,6,309,6,881,6,384,,,,,,,,,,
934,9,309,9,384,9,881,,,,,,,,,,
935,1,519,2,362,10,881,,,,,,,,,,
936,1,519,3,362,18,881,,,,,,,,,,
937,1,519,4,362,26,881,,,,,,,,,,
940,1,752,5,388,,,,,,,,,,,,
941,3,363,10,761,,,,,,,,,,,,
942,1,752,1,409,,,,,,,,,,,,
943,2,881,10,851,,,,,,,,,,,,
944,5,881,12,851,,,,,,,,,,,,
945,1,1692,5,885,,,,,,,,,,,,
946,1,1692,5,365,10,885,,,,,,,,,,
947,1,1692,15,365,15,885,,,,,,,,,,
948,10,434,10,836,10,437,,,,,,,,,,
949,8,881,14,851,,,,,,,,,,,,
952,1,440,1,438,1,1692,1,439,4,291,,,,,,
953,1,880,1,1692,1,885,100,301,,,,,,,,
954,1,1686,10,384,10,761,10,881,,,,,,,,
955,1,418,2,363,3,8481,4,881,6,384,,,,,,
956,2,881,3,388,3,648,5,384,5,364,,,,,,
957,1,384,1,414,1,881,3,362,,,,,,,,
993,2,369,,,,,,,,,,,,,,
994,2,368,,,,,,,,,,,,,,
995,2,757,,,,,,,,,,,,,,
1001,1,1002,,,,,,,,,,,,,,
1003,2,1002,,,,,,,,,,,,,,
1026,4,442,4,444,5,461,8,471,8,460,,,,,,
1027,5,444,5,442,6,461,8,471,8,460,,,,,,
1028,6,444,6,442,7,461,8,460,8,471,,,,,,
1029,7,442,7,444,8,471,8,461,8,460,,,,,,
1030,9,2357,9,2358,10,441,10,446,,,,,,,,
1031,4,444,4,446,5,303,5,471,5,312,,,,,,
1032,4,446,5,445,5,350,6,461,6,474,,,,,,
1033,5,446,6,445,6,474,6,461,6,350,,,,,,
1034,6,461,6,446,6,474,7,350,7,445,,,,,,
1035,6,474,6,461,7,446,8,350,8,445,,,,,,
1036,1,543,3,472,4,430,5,313,6,444,6,449,,,,
1037,1,543,4,472,5,430,6,313,6,449,7,444,,,,
1038,1,543,5,472,6,449,6,430,7,313,8,444,,,,
1039,1,543,6,449,6,472,7,313,7,430,9,444,,,,
1040,1,1660,1,466,1,750,2,6458,10,473,10,474,12,471,,
1041,3,441,3,444,4,443,4,446,5,471,,,,,,
1042,1,298,2,472,6,445,6,350,,,,,,,,
1043,1,298,2,472,7,350,8,445,,,,,,,,
1044,1,298,3,472,8,350,10,445,,,,,,,,
1045,1,298,3,472,9,350,12,445,,,,,,,,
1046,4,442,5,309,5,374,5,288,6,471,,,,,,
1047,4,442,5,288,6,471,7,309,7,374,,,,,,
1048,5,442,6,288,7,471,9,374,9,309,,,,,,
1049,6,442,7,471,7,288,11,374,11,309,,,,,,
1050,1,396,4,446,6,461,10,367,10,284,,,,,,
1051,2,396,5,446,7,461,13,367,14,284,,,,,,
1052,3,396,6,446,8,461,16,367,18,284,,,,,,
1053,4,396,7,446,9,461,18,367,20,284,,,,,,
1054,1,746,4,474,4,2358,5,473,10,443,12,441,,,,
1055,3,305,4,375,5,764,8,460,,,,,,,,
1056,3,305,4,375,5,68,8,460,,,,,,,,
1057,3,305,4,375,5,69,8,460,,,,,,,,
1058,3,305,4,375,5,70,8,460,,,,,,,,
1059,4,312,4,473,6,303,,,,,,,,,,
1060,1,60,4,473,4,312,,,,,,,,,,
1061,1,60,5,473,6,312,,,,,,,,,,
1062,1,60,6,473,8,312,,,,,,,,,,
1063,1,60,7,473,10,312,,,,,,,,,,
1064,3,444,4,476,10,852,,,,,,,,,,
1065,4,444,5,476,12,852,,,,,,,,,,
1066,6,476,6,444,13,852,,,,,,,,,,
1067,7,444,7,476,15,852,,,,,,,,,,
1068,1,471,2,940,3,431,5,350,,,,,,,,
1069,2,471,2,940,4,431,6,350,,,,,,,,
1070,2,471,3,940,4,431,7,350,,,,,,,,
1071,3,471,3,940,5,431,8,350,,,,,,,,
1072,2,256,3,138,3,313,20,473,,,,,,,,
1073,2,257,3,140,4,313,20,473,,,,,,,,
1074,2,258,3,183,5,313,20,473,,,,,,,,
1075,2,259,3,185,6,313,20,473,,,,,,,,
1076,2,752,4,449,5,476,6,325,10,303,,,,,,
1077,3,752,5,449,6,476,6,325,10,303,,,,,,
1078,4,752,6,449,7,476,7,325,10,303,,,,,,
1079,5,752,7,476,7,325,7,449,10,303,,,,,,
1080,1,1087,2,734,2,450,5,472,10,442,15,519,,,,
1081,1,1087,2,734,3,450,5,472,10,442,20,519,,,,
1082,1,1087,2,734,4,450,6,472,13,442,25,519,,,,
1083,1,1087,2,734,5,450,7,472,15,442,25,519,,,,
1084,2,2566,4,466,5,745,5,748,6,2249,8,7033,10,2305,,
1085,2,926,4,2251,4,2306,5,745,5,6457,8,7032,8,2250,,
1087,5,441,5,312,5,476,,,,,,,,,,
1092,2,420,4,303,7,301,,,,,,,,,,
1093,2,420,4,303,9,301,,,,,,,,,,
1094,2,473,2,420,5,303,10,301,,,,,,,,
1095,2,473,2,420,6,303,11,301,,,,,,,,
1096,1,461,2,420,4,473,5,312,6,383,,,,,,
1097,1,461,2,420,4,473,6,312,8,383,,,,,,
1098,1,461,2,420,4,473,7,312,10,383,,,,,,
1101,1,429,1,461,6,443,,,,,,,,,,
1102,1,429,1,461,8,443,,,,,,,,,,
1103,1,429,1,461,10,443,,,,,,,,,,
1104,1,461,1,429,12,443,,,,,,,,,,
1105,2,350,2,752,7,460,8,442,,,,,,,,
1107,2,752,2,350,9,460,10,442,,,,,,,,
1108,2,350,2,752,11,460,12,442,,,,,,,,
1109,1,101,3,461,5,443,10,583,,,,,,,,
1110,1,101,4,461,6,443,12,583,,,,,,,,
1111,1,101,5,461,7,443,14,583,,,,,,,,
1112,1,461,2,420,4,473,8,312,12,383,,,,,,
1113,1,578,1,420,4,459,4,471,8,445,,,,,,
1114,1,420,2,578,4,471,4,459,10,445,,,,,,
1115,1,420,3,578,4,471,4,459,12,445,,,,,,
1116,1,420,4,471,4,459,4,578,14,445,,,,,,
1117,1,420,3,473,4,437,,,,,,,,,,
1118,1,420,3,473,3,476,6,437,,,,,,,,
1119,1,420,4,476,4,473,8,437,,,,,,,,
1120,1,420,3,460,4,476,4,473,10,437,,,,,,
1121,1,88,1,847,1,465,1,420,10,519,,,,,,
1122,1,465,1,420,1,89,1,847,20,519,,,,,,
1123,1,465,1,847,1,90,1,420,8,473,30,519,,,,
1124,1,91,1,465,1,420,1,847,10,473,40,519,,,,
1125,1,893,1,470,2,359,4,420,10,476,10,350,,,,
1126,1,470,1,894,3,359,4,420,15,350,15,476,,,,
1127,1,470,1,895,4,359,4,420,20,350,20,476,,,,
1128,1,896,1,470,4,420,5,359,25,350,25,476,,,,
1131,2,350,2,752,13,460,14,442,,,,,,,,
1132,1,466,5,2250,8,7925,8,470,10,1611,10,1002,,,,
1133,5,851,6,443,8,471,10,883,,,,,,,,
1134,7,443,7,851,10,471,12,883,,,,,,,,
1135,8,443,9,851,12,471,14,883,,,,,,,,
1136,9,443,11,851,14,471,16,883,,,,,,,,
1137,4,437,5,312,5,449,10,373,11,407,,,,,,
1138,6,449,6,437,8,312,11,407,14,373,,,,,,
1139,7,449,8,437,11,407,11,312,18,373,,,,,,
1140,8,437,8,449,11,407,14,312,22,373,,,,,,
1143,1,465,3,472,3,942,5,376,10,764,10,854,,,,
1144,1,465,3,472,4,942,7,376,10,75,10,68,,,,
1145,1,465,4,472,5,942,9,376,10,76,10,69,,,,
1146,1,465,5,472,6,942,10,77,10,70,11,376,,,,
1147,1,101,6,461,8,443,16,583,,,,,,,,
1148,2,368,5,519,7,476,7,471,,,,,,,,
1149,2,368,8,519,8,471,8,476,,,,,,,,
1150,2,368,9,471,9,476,10,519,,,,,,,,
1151,2,368,10,471,10,476,14,519,,,,,,,,
1152,3,313,4,757,5,474,8,460,,,,,,,,
1153,4,313,5,757,6,474,9,460,,,,,,,,
1154,6,757,7,474,7,313,10,460,,,,,,,,
1157,6,313,7,757,8,474,11,460,,,,,,,,
1161,5,372,6,313,8,449,10,312,10,361,,,,,,
1162,8,372,9,313,12,449,16,361,20,312,,,,,,
1163,6,372,7,313,10,449,12,361,14,312,,,,,,
1164,7,372,8,313,12,449,14,361,18,312,,,,,,
1182,1,311,3,421,,,,,,,,,,,,
1183,1,311,2,428,2,421,,,,,,,,,,
1330,1,441,4,473,5,312,,,,,,,,,,
1331,1,465,3,449,4,461,8,474,10,350,10,460,,,,
1333,1,1463,5,1526,,,,,,,,,,,,
