Item_ID,Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_6,Effect_7,Effect_8,Effect_9,Effect_10,Effect_11,Effect_12,Effect_13,Effect_14,Effect_15,Effect_16,Effect_17,Effect_18,Effect_19,Effect_20,Effect_21,Effect_22,Effect_23,Effect_24,Effect_25,Effect_26,Effect_27,Effect_28,Effect_29,Effect_30,Effect_31,Effect_32,Effect_33,Effect_34,Effect_35,Effect_36,Effect_37,Effect_38,Effect_39,Effect_40
281,110_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,110_51_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,110_31_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,100_6_10,124_5_5,119_5_5,155_9_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,100_7_11,124_7_7,119_7_7,155_9_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,100_8_12,124_9_9,119_9_9,155_9_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,100_9_13,124_11_11,119_11_11,155_9_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,119_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,123_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,115_3_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,100_6_10,125_6_10,119_21_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,100_7_11,125_10_10,119_26_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,100_8_12,125_16_20,119_26_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,100_9_13,125_11_15,119_26_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,111_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,123_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,119_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,182_2_2,241_2_2,242_2_2,243_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,100_16_20,118_16_16,153_20_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,100_11_15,115_1_2,119_11_30,155_11_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,100_6_10,123_10_10,115_1_1,119_10_10,155_4_4,157_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,100_2_6,123_21_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,100_2_16,117_1_1,795_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,100_6_10,117_1_1,124_26_30,123_16_20,157_1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,100_16_20,115_1_1,795_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,100_16_20,117_1_1,115_2_5,123_11_30,176_2_5,157_20_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,100_2_6,115_5_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,100_6_10,118_10_10,155_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,100_16_20,119_10_10,153_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,100_16_20,123_16_20,115_2_3,155_16_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,100_1_3,119_5_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,100_5_7,128_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,100_6_10,118_21_25,152_1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,100_11_15,118_6_10,115_1_1,153_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,125_8_8,123_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,100_16_20,123_31_40,125_31_40,155_1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,128_1_1,123_11_30,157_20_20,176_2_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,110_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,100_6_10,125_8_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,100_11_25,123_10_10,153_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,100_11_15,124_16_20,152_16_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,118_4_4,123_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,118_21_30,125_21_30,154_1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,100_1_25,119_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,119_11_15,100_1_35,152_11_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,123_4_4,125_4_4,112_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,100_2_4,115_3_3,123_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,100_2_4,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,100_3_7,123_10_10,118_10_10,125_10_10,154_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,100_11_15,118_26_35,119_26_35,153_6_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,123_4_4,124_4_4,115_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,100_3_7,124_15_15,111_1_1,153_66_66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,110_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,100_16_20,124_26_30,152_1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,100_16_20,124_20_20,126_26_35,123_26_35,157_16_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,100_12_16,118_16_20,115_1_1,153_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,100_13_17,118_21_25,115_1_1,153_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,100_14_18,118_26_30,115_1_1,153_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,100_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,100_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,100_2_4,174_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,100_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,100_2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,100_2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,100_2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,100_2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,100_2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,100_2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,100_2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,100_2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,100_11_15,126_21_35,153_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,100_31_45,115_4_5,126_21_30,123_21_30,154_1_30,125_21_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,110_51_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,110_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,110_40_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,110_45_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,110_100_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,110_50_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,110_50_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,110_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,110_50_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,600_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,100_2_4,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,100_2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,139_101_200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,100_4_8,118_10_10,123_15_15,126_15_15,153_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,96_1_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,706_?_?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,117_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,123_21_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,115_2_2,125_16_25,118_16_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,100_11_15,115_2_6,182_3_4,112_3_7,119_31_50,157_1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,100_31_45,112_4_6,118_21_30,115_1_2,155_1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,125_21_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,123_12_41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
